CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyalty_Level
12346.0,325,1,77183.6,4,4,1,441,9,Silver
12747.0,2,103,4196.009999999999,1,1,1,111,3,Platinum
12748.0,0,4596,33719.73,1,1,1,111,3,Platinum
12749.0,3,199,4090.88,1,1,1,111,3,Platinum
12820.0,3,59,942.34,1,2,2,122,5,Platinum
12821.0,214,6,92.72,4,4,4,444,12,Bronze
12822.0,70,46,948.8800000000002,3,2,2,322,7,Gold
12823.0,74,5,1759.5,3,4,1,341,8,Gold
12824.0,59,25,397.11999999999995,3,3,3,333,9,Silver
12826.0,2,91,1474.72,1,2,2,122,5,Platinum
12827.0,5,25,430.15,1,3,3,133,7,Gold
12828.0,2,56,1018.71,1,2,2,122,5,Platinum
12829.0,336,11,293.0,4,4,4,444,12,Bronze
12830.0,37,38,6814.640000000001,2,3,1,231,6,Gold
12831.0,262,9,215.05,4,4,4,444,12,Bronze
12832.0,32,27,383.03000000000003,2,3,3,233,8,Gold
12833.0,145,24,417.38,4,3,3,433,10,Silver
12834.0,282,18,312.38,4,3,3,433,10,Silver
12836.0,59,175,2612.8599999999997,3,1,1,311,5,Platinum
12837.0,173,12,134.1,4,4,4,444,12,Bronze
12838.0,33,123,683.13,2,1,2,212,5,Platinum
12839.0,2,314,5591.42,1,1,1,111,3,Platinum
12840.0,143,113,2726.77,4,1,1,411,6,Gold
12841.0,4,420,4022.35,1,1,1,111,3,Platinum
12842.0,70,34,1118.99,3,3,2,332,8,Gold
12843.0,65,103,1702.2600000000002,3,1,1,311,5,Platinum
12844.0,29,52,325.96,2,2,3,223,7,Gold
12845.0,267,27,354.09,4,3,3,433,10,Silver
12847.0,22,91,871.5399999999998,2,2,2,222,6,Gold
12849.0,31,51,1050.8899999999999,2,2,2,222,6,Gold
12851.0,96,50,135.18,3,2,4,324,9,Silver
12852.0,294,17,311.55,4,4,3,443,11,Bronze
12853.0,134,78,1957.1000000000004,3,2,1,321,6,Gold
12854.0,78,110,1324.5000000000002,3,1,2,312,6,Gold
12855.0,372,3,38.1,4,4,4,444,12,Bronze
12856.0,7,314,2179.93,1,1,1,111,3,Platinum
12857.0,210,46,1106.4,4,2,2,422,8,Gold
12863.0,52,5,521.2,3,4,3,343,10,Silver
12864.0,138,3,147.12,3,4,4,344,11,Bronze
12867.0,26,538,4036.82,2,1,1,211,4,Platinum
12868.0,185,107,1607.0600000000002,4,1,1,411,6,Gold
12871.0,84,11,380.64000000000004,3,4,3,343,10,Silver
12872.0,326,66,599.9700000000001,4,2,3,423,9,Silver
12873.0,282,4,374.0,4,4,3,443,11,Bronze
12875.0,143,2,343.2300000000001,4,4,3,443,11,Bronze
12877.0,3,154,1535.7700000000002,1,1,2,112,4,Platinum
12878.0,236,47,854.99,4,2,2,422,8,Gold
12879.0,44,10,573.22,2,4,3,243,9,Silver
12881.0,275,7,298.0,4,4,4,444,12,Bronze
12882.0,9,13,1463.0399999999997,1,4,2,142,7,Gold
12883.0,24,42,703.47,2,2,2,222,6,Gold
12884.0,88,7,309.05000000000007,3,4,3,343,10,Silver
12885.0,63,71,1175.2199999999998,3,2,2,322,7,Gold
12886.0,67,82,1378.3999999999999,3,2,2,322,7,Gold
12888.0,214,5,354.12,4,4,3,443,11,Bronze
12890.0,24,82,380.47,2,2,3,223,7,Gold
12891.0,185,3,331.0,4,4,3,443,11,Bronze
12893.0,30,34,188.14000000000001,2,3,4,234,9,Silver
12895.0,42,22,372.8,2,3,3,233,8,Gold
12897.0,204,4,216.5,4,4,4,444,12,Bronze
12901.0,8,116,17654.539999999997,1,1,1,111,3,Platinum
12902.0,264,10,138.67999999999998,4,4,4,444,12,Bronze
12904.0,18,72,509.58,2,2,3,223,7,Gold
12906.0,11,63,2919.81,1,2,1,121,4,Platinum
12908.0,176,2,750.0,4,4,2,442,10,Silver
12909.0,39,91,2178.67,2,2,1,221,5,Platinum
12910.0,23,75,3075.0400000000004,2,2,1,221,5,Platinum
12912.0,2,24,1662.3,1,3,1,131,5,Platinum
12913.0,4,50,2483.6299999999997,1,2,1,121,4,Platinum
12915.0,148,22,363.65,4,3,3,433,10,Silver
12916.0,138,107,3006.1499999999996,3,1,1,311,5,Platinum
12917.0,128,2,594.0,3,4,3,343,10,Silver
